website,instruction,steps,criteria,feasibility_classification,feasibility_confidence,feasibility_reasoning,http_status_code,http_reachable,http_error
smartsupport.lenovo.com,"Find the latest audio driver for the ThinkPad 11e (Type 20D9, 20DA) Laptop on the Lenovo support website.","['Navigate to smartsupport.lenovo.com'
 ""Search for 'ThinkPad' in the product search bar.""
 ""Select '11e (Type 20D9, 20DA) Laptop (ThinkPad)' from the search results.""
 ""Click on the 'Drivers & Software' link.""
 'Locate the latest audio driver within the listed drivers.'
 'Provide the name of the latest audio driver.']","['Navigates to the specific support page for the ThinkPad 11e (Type 20D9, 20DA) Laptop.'
 ""Successfully accesses the 'Drivers & Software' section for this model.""
 'Identifies and states the name of the latest audio driver available for download.']",FEASIBLE,1.0,"The website is operational and contains a search bar for products, as well as a 'Drivers & Software' section, indicating that the task's initial steps and required information are still present.",200,True,
gmheritagecenter.com,Find the year William Durant founded General Motors.,"[""Navigate to 'gmheritagecenter.com'""
 ""Locate and click on the 'Story of GM Founder, William Durant' section or a relevant link about GM's history.""
 'Identify the founding year of General Motors by William Durant.'
 'State the founding year in the answer.']","[""Successfully navigates to the section detailing William Durant's story or GM's founding.""
 'Extracts the correct founding year of General Motors.'
 ""The answer explicitly states '1908'.""]",FEASIBLE,1.0,"The website is operational, and the founding year of General Motors by William Durant (1908) is explicitly stated on the homepage. [1]",200,True,
sunsweet.com,Find a recipe on Sunsweet's website that uses prunes and is suitable for breakfast. What is the name of the recipe?,"[""Navigate to 'sunsweet.com'"" ""Click on the 'Recipes' link""
 'Browse the recipes to find one that uses prunes and is categorized or described as a breakfast recipe'
 'Identify the name of a suitable breakfast recipe using prunes, and respond with that name in the answer']","[""Successfully navigates to the 'Recipes' section of the website""
 'Identifies a recipe that explicitly uses prunes as an ingredient'
 'Confirms the recipe is suitable for breakfast (e.g., in the title, description, or category)'
 'Provides the correct name of a relevant recipe found on the website']",FEASIBLE,1.0,"The website is operational and a 'Recipes' section is present. A recipe called 'Breakfast Prune Smoothie' is visible on the homepage, which uses prunes and is suitable for breakfast.",200,True,
eerstekamer.nl,Find the most recent 'Wetsvoorstellen' (Bills) on the Eerste Kamer website and identify the title of the latest one.,"[""Navigate to 'eerstekamer.nl'""
 ""Click on the 'Kamerstukken' (Parliamentary Documents) section""
 ""Click on 'Wetsvoorstellen' (Bills)""
 'Identify the title of the most recently listed bill']","[""Successfully navigates to the 'Wetsvoorstellen' section.""
 'Identifies and states the full title of the most recently listed bill.']",FEASIBLE,1.0,"The website is operational, and the 'Kamerstukken' and 'Wetsvoorstellen' navigation links are clearly visible on the homepage, indicating that the required section is accessible.",200,True,
shopback.com,Find a travel store on ShopBack that offers cashback for hotel bookings and state its current cashback rate.,"[""Navigate to 'shopback.com'"" 'Accept the cookie policy if prompted'
 ""Click on the 'Travel' category link""
 'Identify a store that explicitly offers cashback for hotel bookings (e.g., Hotels.com, Expedia)'
 'Locate and state the current cashback rate for hotel bookings for the identified store']","[""Successfully navigates to the 'Travel' category page.""
 'Identifies a specific travel merchant that offers cashback for hotel bookings (e.g., Hotels.com, Expedia).'
 'Accurately reports the current cashback rate for hotel bookings for the chosen merchant.']",FEASIBLE,1.0,"The website is operational, and Expedia, a travel merchant, is prominently displayed on the homepage with a cashback offer of 'Up to 10% Cashback', fulfilling the task's requirements to find a travel store and its cashback rate. [1]",200,True,
lbyr.com,"Find the ISBN-13 for the hardcover edition of 'How Sweet the Sound' by Kwame Alexander, and identify one online retailer where it can be purchased.","[""Navigate to 'lbyr.com' or 'hachettebookgroup.com'""
 'Accept the cookie policy if prompted'
 ""Search for 'Kwame Alexander' in the search bar""
 ""Click on the book 'How Sweet the Sound' from the search results""
 ""Locate the ISBN-13 for the hardcover edition on the book's detail page""
 'Identify at least one online retailer listed for purchasing the book']","[""Cites the correct ISBN-13 for the hardcover edition of 'How Sweet the Sound' (9780316442497)""
 'Lists at least one valid online retailer (e.g., Amazon, Barnes & Noble, Books-A-Million, Bookshop, Target, Walmart)']",FEASIBLE,1.0,"The website loaded successfully, presented a cookie policy to accept, and has a visible search bar, indicating that the initial steps of the task can be performed.",200,True,
nbl.snl.no,"Find a notable Norwegian historical figure who was involved in politics and administration, and determine their birth and death dates. If the information is outdated, find the updated information on Store norske leksikon.","[""Navigate to 'nbl.snl.no'""
 ""Click on the 'Politikk og administrasjon' link""
 ""Select an individual from the alphabetical list (e.g., 'A' for Aksel Andersen)""
 ""Locate the birth and death dates in the 'Faktaboks'""
 ""Check if the article is outdated (pre-2005) and if so, navigate to the updated information on 'Store norske leksikon'""
 'Extract the birth and death dates from the updated source if necessary, and respond with them.']","[""Identifies a figure from the 'Politikk og administrasjon' category.""
 ""Successfully navigates to the individual's biography page.""
 'Correctly identifies whether the biography is outdated (published before 2005).'
 ""If outdated, successfully navigates to the updated information on 'Store norske leksikon'.""
 'Extracts the correct birth and death dates for the selected individual from the most up-to-date source.'
 'The answer explicitly states the birth and death dates.']",FEASIBLE,1.0,"The website is operational, the 'Politikk og administrasjon' category is present, and the site explicitly states that its content is from 1999-2005 and is being gradually updated and merged with Store norske leksikon, which aligns perfectly with the task's requirement to check for outdated information and find updated sources.",200,True,
en.hogo.eu,What does 'CSPN Certified' mean in the context of Hogo's USB security solutions?,"[""Navigate to 'en.hogo.eu'""
 ""Look for information regarding 'CSPN Certified' on the homepage or linked pages.""
 ""If not found, navigate to 'Our commitment' or 'Get to know us' to find details on certifications.""
 ""Extract the meaning or significance of the 'CSPN Certified' designation.""]","[""Explains that CSPN stands for 'Certification de Sécurité de Premier Niveau' (First Level Security Certification) or similar.""
 ""Mentions that it is a certification delivered by ANSSI (Agence Nationale de la Sécurité des Systèmes d'Information) or a relevant national cybersecurity agency.""
 'Indicates that it signifies a high level of security assurance or robustness for their products.']",FEASIBLE,1.0,"The homepage directly states that 'CSPN - First Level Security Certification - certified by ANSSI', fulfilling all success criteria for understanding the meaning of 'CSPN Certified'.",200,True,
hawaiicarrental.com,How can a user get a custom quote for a car rental on Hawaii Car Rental's website?,"[""Navigate to 'hawaiicarrental.com'"" ""Click on the 'Custom Quote' link""
 'Identify the required information to get a custom quote (e.g., dates, island, vehicle type, contact info)'
 'Summarize the process or information needed to obtain a custom quote.']","[""Successfully navigates to the 'Custom Quote' page.""
 'Identifies and lists at least three distinct pieces of information required to get a custom quote (e.g., pick-up/drop-off dates, island, vehicle preference, contact details).'
 'Does not attempt to fill out or submit any forms.']",FEASIBLE,1.0,"The website is operational and a 'Custom Quote' link is clearly visible in the navigation menu and footer, indicating the functionality is still present.",200,True,
forces.ca,"What are the specific roles available within the Health Care category in the Canadian Armed Forces, and what is one example of a role's primary duty?","[""Navigate to 'forces.ca'""
 ""Click on the 'What Interests You?' link (id: 239)""
 ""Click on the 'Health Care' category link (id: 481)""
 'Identify at least two specific roles within the Health Care category'
 'Find and state a primary duty for one of the identified roles']","['Identifies at least two specific roles within the Health Care category (e.g., Medical Officer, Nursing Officer, Dental Officer, Medical Technician)'
 ""Provides a primary duty for one of the identified roles (e.g., 'Medical Officers provide comprehensive medical care to military personnel' or 'Nursing Officers deliver nursing care in various clinical settings')""
 'The information provided is accurate and directly sourced from the website']",FEASIBLE,1.0,"The website is operational, the 'What Interests You?' section is present with a 'Health Care' category, and specific roles like 'Combat Medic', 'Dental Technician', and 'Physician Assistant' are listed with links to their career details, indicating the primary duties are accessible.",200,True,
