website,instruction,steps,criteria,feasibility_classification,feasibility_confidence,feasibility_reasoning,http_status_code,http_reachable,http_error
jpr.sagepub.com,Find the submission guidelines for the Journal of Peace Research and identify the maximum word count for standard research articles.,"['Navigate to jpr.sagepub.com' 'Accept non-essential cookies if prompted'
 ""Click on the 'Submission Guidelines' link under 'Journal information'""
 'Locate the maximum word count for standard research articles within the submission guidelines']","[""Successfully navigates to the 'Submission Guidelines' page.""
 'Identifies and states the correct maximum word count for standard research articles as specified in the guidelines.']",WEBSITE_DOWN,0.95,"Website could not be reached: HTTPSConnectionPool(host='jpr.sagepub.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:1028)')))",,False,"HTTPSConnectionPool(host='jpr.sagepub.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:1028)')))"
visabureau.com,Find the processing time for a 'Skilled Independent visa (subclass 189)' on the Australian Department of Home Affairs website.,"[""Navigate to 'homeaffairs.gov.au'"" ""Go to the 'Visas' section.""
 ""Click on 'Visa processing times'.""
 ""Navigate to the 'Skilled visa processing priorities' section.""
 ""Locate and extract the processing time information for the 'Skilled Independent visa (subclass 189)'.""]","[""Successfully navigates to the 'Skilled visa processing priorities' page.""
 ""Identifies the specific processing time or a clear indication of how processing times are determined for the 'Skilled Independent visa (subclass 189)'.""
 'Provides the found processing time or relevant information in the answer.']",UNCERTAIN,0.9,"The starting page loaded successfully, but it is not the Australian Department of Home Affairs website, and it does not provide a clear navigation path to the required website or the specific information needed to complete the task.",200.0,True,
nationalcapital.gov.au,"What is the National Bonsai and Penjing Collection of Australia, and what are its operating hours?","['Navigate to nationalarboretum.act.gov.au'
 ""Locate and click on the 'Opening hours' link (or 'Visit' then 'Opening hours')""
 'Identify the operating hours for the National Bonsai and Penjing Collection of Australia'
 ""Return to the homepage or navigate to a section describing the collection (e.g., 'What's here' or 'Living collections')""
 'Extract a brief description of the National Bonsai and Penjing Collection'
 'Summarize both the description and operating hours in the answer']","[""States the operating hours for the National Bonsai and Penjing Collection as 'Open daily Monday to Sunday & public holidays: 9am - 4pm (closed 25 December)'""
 'Provides a brief description of what the National Bonsai and Penjing Collection is, drawing information from the website.']",WEBSITE_DOWN,0.95,Website could not be reached: connection_error,,False,connection_error
cityofclarksville.com,What are the office hours and phone number for the Clarksville Human Resources department?,"[""Navigate to 'cityofclarksville.com'""
 ""Click on the 'Departments' dropdown or link""
 ""Locate and click on the 'Human Resources' department link""
 'Find the office hours and phone number for the Human Resources department on the page'
 'Provide the office hours and phone number in the answer']","[""States the Human Resources department office hours as 'Monday through Friday 8 a.m. to 4:30 p.m.'""
 ""Provides the correct phone number for the Human Resources department as '931-645-7451'""]",WEBSITE_DOWN,0.95,Website could not be reached: connection_error,,False,connection_error
virginiabeach.gov,Find information about upcoming events or activities offered by the Virginia Beach Parks and Recreation department.,"[""Navigate to 'virginiabeach.gov'""
 ""Click on the 'Experience' link or 'Services' link to find the Parks and Recreation section.""
 ""Locate and click on the link for 'Parks and Recreation' or a similar department listing.""
 ""On the Parks and Recreation page, search for a section or link related to 'Events', 'Programs', or 'Activities'.""
 'Identify at least one upcoming event or activity and its general nature (e.g., a specific type of class, a festival, or a facility opening).']","[""Successfully navigates to the Virginia Beach Parks and Recreation department's dedicated page.""
 'Identifies a section or link specifically for events, programs, or activities.'
 'Provides the name or a brief description of at least one upcoming event or activity found on the Parks and Recreation page.']",FEASIBLE,0.9,"The starting page clearly lists 'Parks & Recreation' under 'City Hall - Departments & Divisions' and 'Parks & Recreation Classes' under 'Popular Services', indicating that the department's dedicated page is accessible and likely contains information about events or activities. [1]",200.0,True,
search.ndltd.org,Find the h-index and total number of citations for the author 'Ling Qiu' on Google Scholar.,"[""Navigate to 'scholar.google.com'""
 ""Search for 'Ling Qiu' in the search bar""
 ""Click on 'Ling Qiu' in the search results to go to their profile page""
 'Locate the h-index and total citation count on the profile page'
 'Respond with both values in the answer']","[""Identifies the h-index for Ling Qiu as '6'""
 ""Identifies the total number of citations for Ling Qiu as '93'""]",WEBSITE_DOWN,1.0,"The starting URL, https://search.ndltd.org, returned an HTTP 503 error, indicating the website is currently unreachable.",503.0,False,
rrc.ca,List all full-time certificate programs offered by Red River College Polytechnic that are currently accepting applications for Fall 2025.,"[""Navigate to 'rrc.ca'"" ""Click on the 'Academics' dropdown menu""
 ""Click on 'Program Explorer'"" ""Click on 'All Programs'""
 ""Filter programs by 'Full-time' and 'Certificate'""
 ""Identify programs accepting applications for 'Fall 2025'""
 'List all identified programs in the answer']","[""Navigates to the 'All Programs' section of the Program Explorer.""
 ""Applies filters to show only 'Full-time' and 'Certificate' programs.""
 'Identifies and lists all programs that are currently accepting applications for Fall 2025 based on the information displayed on the page.']",FEASIBLE,0.9,"The website is operational and the 'Program Explorer' is prominently linked under 'Academics' and 'Future Students'. The 'Fall Opportunities' section also suggests that information about fall programs is available, making the task of finding Fall 2025 programs feasible.",200.0,True,
rovehotels.com,Find the contact email address for Rove Dubai Marina.,"[""Navigate to 'rovehotels.com'""
 'Close the cookie consent banner if present'
 ""Click on 'Rove Dubai Marina' from the list of hotels""
 'Locate the contact information on the Rove Dubai Marina page'
 'Extract the email address and provide it in the answer']","['Successfully navigates to the Rove Dubai Marina dedicated page.'
 'Identifies and extracts the correct contact email address for Rove Dubai Marina.']",UNCERTAIN,0.0,LLM assessment failed: [Errno 65] No route to host,200.0,True,
feinsteininstitute.org,Identify the primary research focus of the Institute of Behavioral Science at the Feinstein Institutes for Medical Research.,"['Navigate to feinsteininstitute.org'
 ""Click on the 'Institutes & researchers' link""
 ""Locate and click on the 'Institute of Behavioral Science' link or section""
 'Identify and state the primary research focus of this institute.']","[""Successfully navigates to the 'Institutes & researchers' section.""
 ""Successfully navigates to the specific page or section for the 'Institute of Behavioral Science'.""
 'Accurately identifies and states the primary research focus of the Institute of Behavioral Science as presented on the website.']",FEASIBLE,0.9,"The website is operational and the 'Institutes & researchers' link is clearly visible. The page content also explicitly mentions the 'Institute of Behavioral Science' as one of its six institutes, indicating its continued presence and the likelihood of finding its research focus.",200.0,True,
sunsetzoo.com,"List all the 'Education Animal Ambassadors' found across the different animal categories at Sunset Zoo, and state the zoo's operating hours.","[""Navigate to 'sunsetzoo.com'""
 ""Identify and visit the 'Amphibians, Fish & Invertebrates' page to find the 'Education Animal Ambassadors' for that category.""
 ""Go back to the 'Animals' main page.""
 ""Identify and visit the 'Reptiles' page to find the 'Education Animal Ambassadors' for that category.""
 ""Go back to the 'Animals' main page.""
 ""Identify and visit the 'Birds' page to find the 'Education Animal Ambassadors' for that category (if any).""
 ""Go back to the 'Animals' main page.""
 ""Identify and visit the 'Mammals' page to find the 'Education Animal Ambassadors' for that category (if any).""
 ""Note the zoo's operating hours from any page.""
 ""Compile a complete list of all 'Education Animal Ambassadors' and the operating hours.""]","[""Lists 'Blue and Yellow Poison Dart Frog', 'Cane Toad', and 'Puerto Rican Crested Toad' from Amphibians.""
 ""Lists 'Atlantic Mollies' from Fish.""
 ""Lists 'Ball Python' from Reptiles.""
 ""States the zoo's operating hours as '9:30am-5:00pm Daily | April to October'.""
 ""Does not include animals listed under 'Sunset Zoo's Mammals' or 'Sunset Zoo's Reptiles' that are not explicitly labeled as 'Education Animal Ambassadors'.""]",UNCERTAIN,0.9,"The starting page loaded and provides the operating hours, but it does not have enough information to confirm the presence of 'Education Animal Ambassadors' without further navigation into the site's animal categories.",200.0,True,
